job_ad_id,job_city_id,job_industry_id,job_type_id,job_ownership_id,job_fed_contractor,job_equal_opp_employer,job_req_any,job_req_communication,job_req_education,job_req_min_experience,job_req_computer,job_req_organization,job_req_school
404,1,2,5,1,0,0,1,1,0,,1,1,none_listed
405,1,3,2,2,0,1,0,0,0,,0,0,none_listed
406,1,5,1,1,0,1,1,1,0,2,1,0,none_listed
406,1,5,1,1,0,1,1,1,0,2,1,0,none_listed
406,1,5,1,1,0,1,1,1,0,2,1,0,none_listed
406,1,5,1,1,0,1,1,1,0,2,1,0,none_listed
407,1,1,3,4,0,0,1,0,1,3,1,0,college
407,1,1,3,4,0,0,1,0,1,3,1,0,college
407,1,1,3,4,0,0,1,0,1,3,1,0,college
407,1,1,3,4,0,0,1,0,1,3,1,0,college
410,1,3,3,1,0,0,1,0,0,some,0,0,none_listed
410,1,3,3,1,0,0,1,0,0,some,0,0,none_listed
412,1,3,3,2,NA,0,0,0,0,,0,0,none_listed
411,1,1,1,2,NA,1,1,1,0,some,1,0,none_listed
411,1,1,1,2,NA,1,1,1,0,some,1,0,none_listed
411,1,1,1,2,NA,1,1,1,0,some,1,0,none_listed
412,1,3,3,2,NA,0,0,0,0,,0,0,none_listed
412,1,3,3,2,NA,0,0,0,0,,0,0,none_listed
411,1,1,1,2,NA,1,1,1,0,some,1,0,none_listed
412,1,3,3,2,NA,0,0,0,0,,0,0,none_listed
413,1,5,1,3,1,1,1,0,0,,1,0,none_listed
414,1,3,3,1,1,0,1,0,0,some,0,0,none_listed
414,1,3,3,1,1,0,1,0,0,some,0,0,none_listed
413,1,5,1,3,1,1,1,0,0,,1,0,none_listed
413,1,5,1,3,1,1,1,0,0,,1,0,none_listed
413,1,5,1,3,1,1,1,0,0,,1,0,none_listed
415,1,3,6,3,0,1,1,0,0,5,1,0,none_listed
415,1,3,6,3,0,1,1,0,0,5,1,0,none_listed
416,1,3,3,2,0,0,1,0,0,2,0,0,none_listed
416,1,3,3,2,0,0,1,0,0,2,0,0,none_listed
417,1,1,1,2,NA,0,1,0,1,1,1,0,some_college
418,1,3,3,3,0,1,1,0,0,some,0,0,none_listed
417,1,1,1,2,NA,0,1,0,1,1,1,0,some_college
418,1,3,3,3,0,1,1,0,0,some,0,0,none_listed
419,1,3,3,1,0,0,0,0,0,,0,0,none_listed
419,1,3,3,1,0,0,0,0,0,,0,0,none_listed
420,1,3,3,3,1,1,1,0,0,2,1,0,none_listed
420,1,3,3,3,1,1,1,0,0,2,1,0,none_listed
421,1,5,1,3,0,1,1,0,0,,1,0,none_listed
421,1,5,1,3,0,1,1,0,0,,1,0,none_listed
421,1,5,1,3,0,1,1,0,0,,1,0,none_listed
421,1,5,1,3,0,1,1,0,0,,1,0,none_listed
422,1,5,6,1,0,1,1,0,0,5,1,0,none_listed
422,1,5,6,1,0,1,1,0,0,5,1,0,none_listed
422,1,5,6,1,0,1,1,0,0,5,1,0,none_listed
423,1,3,3,3,0,1,1,0,0,some,0,0,none_listed
423,1,3,3,3,0,1,1,0,0,some,0,0,none_listed
422,1,5,6,1,0,1,1,0,0,5,1,0,none_listed
425,1,4,2,2,0,0,1,0,0,some,0,0,none_listed
424,1,2,6,1,0,0,1,0,0,5,1,0,none_listed
425,1,4,2,2,0,0,1,0,0,some,0,0,none_listed
424,1,2,6,1,0,0,1,0,0,5,1,0,none_listed
426,1,3,6,2,NA,0,1,1,0,some,0,0,none_listed
426,1,3,6,2,NA,0,1,1,0,some,0,0,none_listed
428,1,3,3,1,0,1,0,0,0,,0,0,none_listed
427,1,3,6,1,0,1,1,0,0,8,1,0,none_listed
427,1,3,6,1,0,1,1,0,0,8,1,0,none_listed
427,1,3,6,1,0,1,1,0,0,8,1,0,none_listed
428,1,3,3,1,0,1,0,0,0,,0,0,none_listed
427,1,3,6,1,0,1,1,0,0,8,1,0,none_listed
429,1,1,1,2,NA,0,1,0,0,some,1,0,none_listed
430,1,2,3,1,0,0,1,0,0,2,0,0,none_listed
429,1,1,1,2,NA,0,1,0,0,some,1,0,none_listed
430,1,2,3,1,0,0,1,0,0,2,0,0,none_listed
431,1,5,6,1,0,1,1,0,1,3,1,0,high_school_grad
431,1,5,6,1,0,1,1,0,1,3,1,0,high_school_grad
431,1,5,6,1,0,1,1,0,1,3,1,0,high_school_grad
432,1,3,3,2,NA,0,1,0,0,2,0,0,none_listed
431,1,5,6,1,0,1,1,0,1,3,1,0,high_school_grad
432,1,3,3,2,NA,0,1,0,0,2,0,0,none_listed
433,1,3,3,1,0,0,0,0,0,,0,0,none_listed
433,1,3,3,1,0,0,0,0,0,,0,0,none_listed
434,1,1,1,2,0,1,1,0,0,5,1,0,none_listed
434,1,1,1,2,0,1,1,0,0,5,1,0,none_listed
434,1,1,1,2,0,1,1,0,0,5,1,0,none_listed
434,1,1,1,2,0,1,1,0,0,5,1,0,none_listed
435,1,3,3,1,0,0,1,0,0,some,0,0,none_listed
435,1,3,3,1,0,0,1,0,0,some,0,0,none_listed
436,1,4,1,2,NA,0,1,0,0,,1,0,none_listed
436,1,4,1,2,NA,0,1,0,0,,1,0,none_listed
436,1,4,1,2,NA,0,1,0,0,,1,0,none_listed
436,1,4,1,2,NA,0,1,0,0,,1,0,none_listed
438,1,2,2,2,0,0,1,1,0,,0,0,none_listed
437,1,2,3,1,0,0,1,0,0,some,1,0,none_listed
437,1,2,3,1,0,0,1,0,0,some,1,0,none_listed
438,1,2,2,2,0,0,1,1,0,,0,0,none_listed
438,1,2,2,2,0,0,1,1,0,,0,0,none_listed
437,1,2,3,1,0,0,1,0,0,some,1,0,none_listed
437,1,2,3,1,0,0,1,0,0,some,1,0,none_listed
438,1,2,2,2,0,0,1,1,0,,0,0,none_listed
439,1,5,5,1,NA,0,1,0,0,,1,0,none_listed
440,1,2,4,2,0,1,0,0,0,,0,0,none_listed
440,1,2,4,2,0,1,0,0,0,,0,0,none_listed
439,1,5,5,1,NA,0,1,0,0,,1,0,none_listed
440,1,2,4,2,0,1,0,0,0,,0,0,none_listed
439,1,5,5,1,NA,0,1,0,0,,1,0,none_listed
439,1,5,5,1,NA,0,1,0,0,,1,0,none_listed
440,1,2,4,2,0,1,0,0,0,,0,0,none_listed
125,2,2,3,1,0,1,1,0,0,3,0,0,none_listed
125,2,2,3,1,0,1,1,0,0,3,0,0,none_listed
73,2,3,3,1,0,1,1,0,0,3,0,0,none_listed
201,2,1,2,1,0,0,1,0,0,some,0,0,none_listed
184,2,3,2,2,NA,0,1,0,0,some,0,0,none_listed
100,2,1,3,1,0,0,1,0,0,some,0,0,none_listed
1,2,5,3,1,0,1,1,0,1,3,0,0,some_college
184,2,3,2,2,NA,0,1,0,0,some,0,0,none_listed
201,2,1,2,1,0,0,1,0,0,some,0,0,none_listed
73,2,3,3,1,0,1,1,0,0,3,0,0,none_listed
125,2,2,3,1,0,1,1,0,0,3,0,0,none_listed
225,2,1,3,4,0,1,1,0,1,2,0,0,some_college
225,2,1,3,4,0,1,1,0,1,2,0,0,some_college
184,2,3,2,2,NA,0,1,0,0,some,0,0,none_listed
73,2,3,3,1,0,1,1,0,0,3,0,0,none_listed
100,2,1,3,1,0,0,1,0,0,some,0,0,none_listed
1,2,5,3,1,0,1,1,0,1,3,0,0,some_college
100,2,1,3,1,0,0,1,0,0,some,0,0,none_listed
73,2,3,3,1,0,1,1,0,0,3,0,0,none_listed
100,2,1,3,1,0,0,1,0,0,some,0,0,none_listed
1,2,5,3,1,0,1,1,0,1,3,0,0,some_college
225,2,1,3,4,0,1,1,0,1,2,0,0,some_college
225,2,1,3,4,0,1,1,0,1,2,0,0,some_college
201,2,1,2,1,0,0,1,0,0,some,0,0,none_listed
125,2,2,3,1,0,1,1,0,0,3,0,0,none_listed
1,2,5,3,1,0,1,1,0,1,3,0,0,some_college
201,2,1,2,1,0,0,1,0,0,some,0,0,none_listed
184,2,3,2,2,NA,0,1,0,0,some,0,0,none_listed
441,1,2,3,1,0,1,1,0,0,5,1,0,none_listed
441,1,2,3,1,0,1,1,0,0,5,1,0,none_listed
442,1,1,1,2,NA,0,0,0,0,,0,0,none_listed
442,1,1,1,2,NA,0,0,0,0,,0,0,none_listed
442,1,1,1,2,NA,0,0,0,0,,0,0,none_listed
442,1,1,1,2,NA,0,0,0,0,,0,0,none_listed
444,1,4,1,2,NA,0,1,0,0,,1,0,none_listed
444,1,4,1,2,NA,0,1,0,0,,1,0,none_listed
444,1,4,1,2,NA,0,1,0,0,,1,0,none_listed
444,1,4,1,2,NA,0,1,0,0,,1,0,none_listed
445,1,2,1,1,0,0,1,1,0,,1,1,none_listed
445,1,2,1,1,0,0,1,1,0,,1,1,none_listed
445,1,2,1,1,0,0,1,1,0,,1,1,none_listed
445,1,2,1,1,0,0,1,1,0,,1,1,none_listed
446,1,2,2,1,0,0,0,0,0,,0,0,none_listed
446,1,2,2,1,0,0,0,0,0,,0,0,none_listed
446,1,2,2,1,0,0,0,0,0,,0,0,none_listed
446,1,2,2,1,0,0,0,0,0,,0,0,none_listed
447,1,5,2,1,0,0,0,0,0,,0,0,none_listed
447,1,5,2,1,0,0,0,0,0,,0,0,none_listed
448,1,2,1,2,NA,0,1,0,0,some,1,0,none_listed
448,1,2,1,2,NA,0,1,0,0,some,1,0,none_listed
448,1,2,1,2,NA,0,1,0,0,some,1,0,none_listed
448,1,2,1,2,NA,0,1,0,0,some,1,0,none_listed
449,1,1,1,1,0,0,1,1,0,,1,1,none_listed
449,1,1,1,1,0,0,1,1,0,,1,1,none_listed
449,1,1,1,1,0,0,1,1,0,,1,1,none_listed
449,1,1,1,1,0,0,1,1,0,,1,1,none_listed
450,1,2,5,2,NA,0,1,0,0,1,0,0,none_listed
450,1,2,5,2,NA,0,1,0,0,1,0,0,none_listed
450,1,2,5,2,NA,0,1,0,0,1,0,0,none_listed
450,1,2,5,2,NA,0,1,0,0,1,0,0,none_listed
451,1,1,1,2,NA,0,1,0,0,2,1,0,none_listed
451,1,1,1,2,NA,0,1,0,0,2,1,0,none_listed
451,1,1,1,2,NA,0,1,0,0,2,1,0,none_listed
451,1,1,1,2,NA,0,1,0,0,2,1,0,none_listed
452,1,4,1,1,0,0,1,0,0,,1,0,none_listed
452,1,4,1,1,0,0,1,0,0,,1,0,none_listed
453,1,3,4,1,0,0,1,0,0,some,0,0,none_listed
453,1,3,4,1,0,0,1,0,0,some,0,0,none_listed
452,1,4,1,1,0,0,1,0,0,,1,0,none_listed
452,1,4,1,1,0,0,1,0,0,,1,0,none_listed
454,1,5,1,3,1,0,1,0,0,some,1,1,none_listed
454,1,5,1,3,1,0,1,0,0,some,1,1,none_listed
454,1,5,1,3,1,0,1,0,0,some,1,1,none_listed
454,1,5,1,3,1,0,1,0,0,some,1,1,none_listed
455,1,2,1,2,NA,0,1,0,0,,1,1,none_listed
455,1,2,1,2,NA,0,1,0,0,,1,1,none_listed
455,1,2,1,2,NA,0,1,0,0,,1,1,none_listed
455,1,2,1,2,NA,0,1,0,0,,1,1,none_listed
456,1,1,1,1,0,0,1,1,1,3,1,0,some_college
456,1,1,1,1,0,0,1,1,1,3,1,0,some_college
456,1,1,1,1,0,0,1,1,1,3,1,0,some_college
456,1,1,1,1,0,0,1,1,1,3,1,0,some_college
457,1,2,6,2,NA,0,1,0,0,3,1,0,none_listed
457,1,2,6,2,NA,0,1,0,0,3,1,0,none_listed
457,1,2,6,2,NA,0,1,0,0,3,1,0,none_listed
457,1,2,6,2,NA,0,1,0,0,3,1,0,none_listed
458,1,4,6,1,0,0,1,0,0,some,1,0,none_listed
458,1,4,6,1,0,0,1,0,0,some,1,0,none_listed
459,1,2,4,1,0,1,1,0,0,1,1,0,none_listed
458,1,4,6,1,0,0,1,0,0,some,1,0,none_listed
458,1,4,6,1,0,0,1,0,0,some,1,0,none_listed
459,1,2,4,1,0,1,1,0,0,1,1,0,none_listed
460,1,2,1,1,0,0,0,0,0,,0,0,none_listed
460,1,2,1,1,0,0,0,0,0,,0,0,none_listed
460,1,2,1,1,0,0,0,0,0,,0,0,none_listed
461,1,1,2,2,NA,0,1,0,0,3,0,0,none_listed
461,1,1,2,2,NA,0,1,0,0,3,0,0,none_listed
460,1,2,1,1,0,0,0,0,0,,0,0,none_listed
462,1,1,6,1,0,1,1,0,0,3,0,0,none_listed
462,1,1,6,1,0,1,1,0,0,3,0,0,none_listed
462,1,1,6,1,0,1,1,0,0,3,0,0,none_listed
462,1,1,6,1,0,1,1,0,0,3,0,0,none_listed
464,1,3,3,1,0,0,1,0,0,some,0,0,none_listed
463,1,1,1,2,NA,1,1,0,0,3,1,0,none_listed
463,1,1,1,2,NA,1,1,0,0,3,1,0,none_listed
464,1,3,3,1,0,0,1,0,0,some,0,0,none_listed
463,1,1,1,2,NA,1,1,0,0,3,1,0,none_listed
463,1,1,1,2,NA,1,1,0,0,3,1,0,none_listed
465,1,2,1,2,0,0,1,0,0,some,1,0,none_listed
465,1,2,1,2,0,0,1,0,0,some,1,0,none_listed
465,1,2,1,2,0,0,1,0,0,some,1,0,none_listed
466,1,3,4,2,0,1,1,0,1,,0,0,some_college
465,1,2,1,2,0,0,1,0,0,some,1,0,none_listed
466,1,3,4,2,0,1,1,0,1,,0,0,some_college
467,1,2,1,1,0,0,1,0,0,,1,0,none_listed
467,1,2,1,1,0,0,1,0,0,,1,0,none_listed
467,1,2,1,1,0,0,1,0,0,,1,0,none_listed
467,1,2,1,1,0,0,1,0,0,,1,0,none_listed
469,1,2,4,1,0,0,1,0,0,some,0,0,none_listed
468,1,1,1,2,NA,0,1,0,0,,1,0,none_listed
469,1,2,4,1,0,0,1,0,0,some,0,0,none_listed
468,1,1,1,2,NA,0,1,0,0,,1,0,none_listed
468,1,1,1,2,NA,0,1,0,0,,1,0,none_listed
468,1,1,1,2,NA,0,1,0,0,,1,0,none_listed
470,1,3,1,1,1,1,1,0,0,7,1,0,none_listed
470,1,3,1,1,1,1,1,0,0,7,1,0,none_listed
470,1,3,1,1,1,1,1,0,0,7,1,0,none_listed
470,1,3,1,1,1,1,1,0,0,7,1,0,none_listed
471,1,2,6,1,0,1,1,0,0,2,0,0,none_listed
471,1,2,6,1,0,1,1,0,0,2,0,0,none_listed
471,1,2,6,1,0,1,1,0,0,2,0,0,none_listed
471,1,2,6,1,0,1,1,0,0,2,0,0,none_listed
472,1,2,2,2,NA,0,1,0,0,some,0,0,none_listed
472,1,2,2,2,NA,0,1,0,0,some,0,0,none_listed
473,1,3,1,3,0,0,1,0,0,2,1,0,none_listed
473,1,3,1,3,0,0,1,0,0,2,1,0,none_listed
473,1,3,1,3,0,0,1,0,0,2,1,0,none_listed
473,1,3,1,3,0,0,1,0,0,2,1,0,none_listed
474,1,2,6,1,0,0,1,0,1,,1,0,some_college
475,1,2,2,2,0,0,1,0,0,3,0,0,none_listed
474,1,2,6,1,0,0,1,0,1,,1,0,some_college
474,1,2,6,1,0,0,1,0,1,,1,0,some_college
474,1,2,6,1,0,0,1,0,1,,1,0,some_college
475,1,2,2,2,0,0,1,0,0,3,0,0,none_listed
476,1,2,1,2,NA,0,1,0,0,3,1,0,none_listed
476,1,2,1,2,NA,0,1,0,0,3,1,0,none_listed
476,1,2,1,2,NA,0,1,0,0,3,1,0,none_listed
476,1,2,1,2,NA,0,1,0,0,3,1,0,none_listed
477,1,1,1,2,NA,0,1,0,1,,1,0,college
477,1,1,1,2,NA,0,1,0,1,,1,0,college
477,1,1,1,2,NA,0,1,0,1,,1,0,college
477,1,1,1,2,NA,0,1,0,1,,1,0,college
478,1,2,1,1,0,0,1,0,0,,1,0,none_listed
478,1,2,1,1,0,0,1,0,0,,1,0,none_listed
478,1,2,1,1,0,0,1,0,0,,1,0,none_listed
479,1,3,4,2,1,0,0,0,0,,0,0,none_listed
478,1,2,1,1,0,0,1,0,0,,1,0,none_listed
479,1,3,4,2,1,0,0,0,0,,0,0,none_listed
480,1,3,4,2,1,0,0,0,0,,0,0,none_listed
480,1,3,4,2,1,0,0,0,0,,0,0,none_listed
481,1,1,1,4,0,0,1,0,0,some,0,0,none_listed
481,1,1,1,4,0,0,1,0,0,some,0,0,none_listed
481,1,1,1,4,0,0,1,0,0,some,0,0,none_listed
481,1,1,1,4,0,0,1,0,0,some,0,0,none_listed
482,1,2,1,1,0,0,1,0,0,some,1,0,none_listed
482,1,2,1,1,0,0,1,0,0,some,1,0,none_listed
482,1,2,1,1,0,0,1,0,0,some,1,0,none_listed
483,1,3,4,2,NA,0,0,0,0,,0,0,none_listed
482,1,2,1,1,0,0,1,0,0,some,1,0,none_listed
483,1,3,4,2,NA,0,0,0,0,,0,0,none_listed
484,1,1,1,2,NA,0,0,0,0,,0,0,none_listed
484,1,1,1,2,NA,0,0,0,0,,0,0,none_listed
484,1,1,1,2,NA,0,0,0,0,,0,0,none_listed
484,1,1,1,2,NA,0,0,0,0,,0,0,none_listed
485,1,1,4,2,0,0,1,0,1,0.5,0,0,some_college
485,1,1,4,2,0,0,1,0,1,0.5,0,0,some_college
485,1,1,4,2,0,0,1,0,1,0.5,0,0,some_college
485,1,1,4,2,0,0,1,0,1,0.5,0,0,some_college
486,1,2,4,2,NA,0,0,0,0,,0,0,none_listed
486,1,2,4,2,NA,0,0,0,0,,0,0,none_listed
486,1,2,4,2,NA,0,0,0,0,,0,0,none_listed
486,1,2,4,2,NA,0,0,0,0,,0,0,none_listed
79,2,1,4,2,NA,0,0,0,0,,0,0,none_listed
132,2,1,2,2,NA,0,0,0,0,,0,0,none_listed
132,2,1,2,2,NA,0,0,0,0,,0,0,none_listed
234,2,3,4,1,0,1,1,0,1,some,0,0,high_school_grad
47,2,6,2,1,0,0,0,0,0,,0,0,none_listed
234,2,3,4,1,0,1,1,0,1,some,0,0,high_school_grad
47,2,6,2,1,0,0,0,0,0,,0,0,none_listed
234,2,3,4,1,0,1,1,0,1,some,0,0,high_school_grad
132,2,1,2,2,NA,0,0,0,0,,0,0,none_listed
192,2,1,2,2,NA,0,0,0,0,,0,0,none_listed
234,2,3,4,1,0,1,1,0,1,some,0,0,high_school_grad
192,2,1,2,2,NA,0,0,0,0,,0,0,none_listed
192,2,1,2,2,NA,0,0,0,0,,0,0,none_listed
47,2,6,2,1,0,0,0,0,0,,0,0,none_listed
210,2,2,4,1,0,0,1,0,1,3,0,0,some_college
47,2,6,2,1,0,0,0,0,0,,0,0,none_listed
132,2,1,2,2,NA,0,0,0,0,,0,0,none_listed
210,2,2,4,1,0,0,1,0,1,3,0,0,some_college
79,2,1,4,2,NA,0,0,0,0,,0,0,none_listed
210,2,2,4,1,0,0,1,0,1,3,0,0,some_college
210,2,2,4,1,0,0,1,0,1,3,0,0,some_college
192,2,1,2,2,NA,0,0,0,0,,0,0,none_listed
79,2,1,4,2,NA,0,0,0,0,,0,0,none_listed
79,2,1,4,2,NA,0,0,0,0,,0,0,none_listed
487,2,1,1,2,NA,0,1,1,0,,0,0,none_listed
487,2,1,1,2,NA,0,1,1,0,,0,0,none_listed
487,2,1,1,2,NA,0,1,1,0,,0,0,none_listed
487,2,1,1,2,NA,0,1,1,0,,0,0,none_listed
288,2,5,2,3,1,1,1,0,1,some,1,0,some_college
288,2,5,2,3,1,1,1,0,1,some,1,0,some_college
288,2,5,2,3,1,1,1,0,1,some,1,0,some_college
288,2,5,2,3,1,1,1,0,1,some,1,0,some_college
289,2,6,2,1,0,1,0,0,0,,0,0,none_listed
289,2,6,2,1,0,1,0,0,0,,0,0,none_listed
289,2,6,2,1,0,1,0,0,0,,0,0,none_listed
289,2,6,2,1,0,1,0,0,0,,0,0,none_listed
488,2,1,5,4,1,0,1,1,0,,1,0,none_listed
488,2,1,5,4,1,0,1,1,0,,1,0,none_listed
488,2,1,5,4,1,0,1,1,0,,1,0,none_listed
488,2,1,5,4,1,0,1,1,0,,1,0,none_listed
489,2,1,1,2,NA,0,1,0,0,,0,0,none_listed
489,2,1,1,2,NA,0,1,0,0,,0,0,none_listed
489,2,1,1,2,NA,0,1,0,0,,0,0,none_listed
489,2,1,1,2,NA,0,1,0,0,,0,0,none_listed
291,2,1,2,2,NA,0,1,0,0,,1,0,none_listed
291,2,1,2,2,NA,0,1,0,0,,1,0,none_listed
291,2,1,2,2,NA,0,1,0,0,,1,0,none_listed
291,2,1,2,2,NA,0,1,0,0,,1,0,none_listed
490,2,2,1,2,NA,0,1,0,0,,1,0,none_listed
490,2,2,1,2,NA,0,1,0,0,,1,0,none_listed
490,2,2,1,2,NA,0,1,0,0,,1,0,none_listed
490,2,2,1,2,NA,0,1,0,0,,1,0,none_listed
292,2,1,4,4,0,0,0,0,0,,0,0,none_listed
292,2,1,4,4,0,0,0,0,0,,0,0,none_listed
491,2,1,1,2,0,0,1,0,0,,1,0,none_listed
491,2,1,1,2,0,0,1,0,0,,1,0,none_listed
491,2,1,1,2,0,0,1,0,0,,1,0,none_listed
491,2,1,1,2,0,0,1,0,0,,1,0,none_listed
293,2,3,2,1,0,0,0,0,0,,0,0,none_listed
293,2,3,2,1,0,0,0,0,0,,0,0,none_listed
293,2,3,2,1,0,0,0,0,0,,0,0,none_listed
293,2,3,2,1,0,0,0,0,0,,0,0,none_listed
492,2,1,1,2,NA,0,0,0,0,,0,0,none_listed
492,2,1,1,2,NA,0,0,0,0,,0,0,none_listed
492,2,1,1,2,NA,0,0,0,0,,0,0,none_listed
492,2,1,1,2,NA,0,0,0,0,,0,0,none_listed
294,2,3,2,1,0,0,0,0,0,,0,0,none_listed
294,2,3,2,1,0,0,0,0,0,,0,0,none_listed
294,2,3,2,1,0,0,0,0,0,,0,0,none_listed
294,2,3,2,1,0,0,0,0,0,,0,0,none_listed
493,2,1,1,4,0,0,1,0,0,,1,0,none_listed
493,2,1,1,4,0,0,1,0,0,,1,0,none_listed
493,2,1,1,4,0,0,1,0,0,,1,0,none_listed
493,2,1,1,4,0,0,1,0,0,,1,0,none_listed
295,2,3,2,1,0,0,1,0,0,2,0,0,none_listed
295,2,3,2,1,0,0,1,0,0,2,0,0,none_listed
295,2,3,2,1,0,0,1,0,0,2,0,0,none_listed
295,2,3,2,1,0,0,1,0,0,2,0,0,none_listed
494,2,2,1,1,0,0,1,0,0,,1,0,none_listed
494,2,2,1,1,0,0,1,0,0,,1,0,none_listed
494,2,2,1,1,0,0,1,0,0,,1,0,none_listed
494,2,2,1,1,0,0,1,0,0,,1,0,none_listed
296,2,1,4,2,NA,0,0,0,0,,0,0,none_listed
296,2,1,4,2,NA,0,0,0,0,,0,0,none_listed
296,2,1,4,2,NA,0,0,0,0,,0,0,none_listed
296,2,1,4,2,NA,0,0,0,0,,0,0,none_listed
297,2,3,2,2,NA,1,1,0,0,some,0,0,none_listed
297,2,3,2,2,NA,1,1,0,0,some,0,0,none_listed
297,2,3,2,2,NA,1,1,0,0,some,0,0,none_listed
297,2,3,2,2,NA,1,1,0,0,some,0,0,none_listed
495,1,1,1,4,0,1,1,0,0,5,1,0,none_listed
495,1,1,1,4,0,1,1,0,0,5,1,0,none_listed
495,1,1,1,4,0,1,1,0,0,5,1,0,none_listed
495,1,1,1,4,0,1,1,0,0,5,1,0,none_listed
496,1,1,1,2,NA,0,1,0,0,,0,0,none_listed
